Ticker,Company Name,Country,State,Exchange,Sector,Industry,IPO Date
AGLE,Aeglea BioTherapeutics Inc.,US,TX,NASDAQ,Healthcare,Biotechnology,2016-04-07
AGM,Federal Agricultural Mortgage Corporation,US,DC,NYSE,Financial Services,Credit Services,1988-12-09
AGMH,AGM Group Holdings Inc.,HK,,NASDAQ,Technology,Software-Application,2018-04-18
AGNC,AGNC Investment Corp.,US,MD,NASDAQ,Real Estate,REIT-Mortgage,2008-05-15
AGNCN,AGNC Investment Corp.,US,MD,NASDAQ,Real Estate,REIT-Mortgage,2017-08-16
AGNCP,AGNC Investment Corp.,US,MD,NASDAQ,Real Estate,REIT-Mortgage,2012-04-02
AGO,Assured Guaranty Ltd.,BM,,NYSE,Financial Services,Insurance-Specialty,2004-04-23
AGR,Avangrid Inc.,US,CT,NYSE,Utilities,Utilities-Regulated Electric,2015-12-17
AGRI,AgriFORCE Growing Systems Ltd.,CA,BC,NASDAQ,Consumer Defensive,Farm Products,2021-07-08
AGRIW,AgriFORCE Growing Systems Ltd.,CA,BC,NASDAQ,Consumer Defensive,Farm Products,2021-07-08
AGRO,Adecoagro S.A.,LU,,NYSE,Consumer Defensive,Farm Products,2011-01-28
AGRX,Agile Therapeutics Inc.,US,NJ,NASDAQ,Healthcare,Drug Manufacturers-Specialty & Generic,2014-05-22
AGS,PlayAGS Inc.,US,NV,NYSE,Consumer Cyclical,Gambling,2018-01-26
AGTC,Applied Genetic Technologies Corporation,US,FLORIDA,NASDAQ,Healthcare,Biotechnology,2014-03-27
AGTI,Agiliti Inc.,US,MN,NYSE,Healthcare,Health Information Services,2021-04-23
AGX,Argan Inc.,US,MD,NYSE,Industrials,Engineering & Construction,1970-07-17
AGYS,Agilysys Inc.,US,GA,NASDAQ,Technology,Software-Application,1980-03-17
AHCO,AdaptHealth Corp.,US,PA,NASDAQ,Healthcare,Medical Devices,2018-02-16
AHG,Akso Health Group,CN,,NASDAQ,Financial Services,Credit Services,2017-11-03
AHH,Armada Hoffler Properties Inc.,US,VA,NYSE,Real Estate,REIT-Diversified,2013-08-05
AHI,Advanced Human Imaging Limited,AU,WA,NASDAQ,Technology,Software-Application,2021-11-19
AHPI,Allied Healthcare Products Inc.,US,MO,NASDAQ,Healthcare,Medical Devices,1992-01-14
AHT,Ashford Hospitality Trust Inc.,US,TX,NYSE,Real Estate,REIT-Hotel & Motel,2003-08-26
AI,C3.ai Inc.,US,CA,NYSE,Technology,Information Technology Services,2020-12-09
AIB,AIB Acquisition Corporation,US,NY,NASDAQ,Financial Services,Shell Companies,2022-02-23
AIF,Apollo Tactical Income Fund Inc.,US,NY,NYSE,Financial Services,Asset Management,2013-02-26
AIG,American International Group Inc.,US,NY,NYSE,Financial Services,Insurance-Diversified,1984-10-08
AIH,Aesthetic Medical International Holdings Group Limited,CN,,NASDAQ,Healthcare,Medical Care Facilities,2019-10-25
AIHS,Senmiao Technology Limited,CN,,NASDAQ,Financial Services,Credit Services,2018-03-16
AIKI,AIkido Pharma Inc.,US,NEW YORK,NASDAQ,Healthcare,Biotechnology,1980-03-18
AIM,AIM ImmunoTech Inc.,US,FL,AMEX,Healthcare,Biotechnology,1995-11-06
